,n,time
0,1,6.220000000212167e-06
1,11,0.0023675000000025646
2,21,0.01557233999999994
3,31,0.04810658000000103
4,41,0.11203077999999778
5,51,0.2120893799999976
6,61,0.360279220000001
7,71,0.5731300599999998
8,81,0.8323300599999982
9,91,1.1838659000000007
10,101,1.5918297999999993
11,111,2.1421959200000003
12,121,2.783450359999995
13,131,3.4943521600000054
14,141,4.396321059999991
15,151,5.363728059999994
16,161,6.747150060000001
17,171,7.995855019999999
18,181,9.208239260000004
19,191,10.84085404
20,201,12.802645099999996
21,211,14.677526479999983
22,221,17.27783883999998
23,231,19.252000599999995
24,241,22.500352940000017
25,251,24.560759500000017
26,261,27.66307606
27,271,30.93433203999998
28,281,34.47309196000001
29,291,38.76374827999998
30,301,42.54190619999999
31,311,47.64753672000006
32,321,52.83931564000004
33,331,56.237916580000004
34,341,62.22444292
35,351,67.55583233999997
36,361,73.62444636000001
37,371,80.93997557999992
38,381,85.70457640000004
39,391,91.68651281999992
40,401,99.93871369999997
41,411,107.34746620000006
42,421,116.38436291999987
43,431,124.55888775999992
44,441,132.87874455999992
45,451,141.60720323999993
46,461,153.56123015999984
47,471,162.33610124000006
48,481,172.06721690000012
49,491,184.32679691999982
