,n,const,sum,prod,polin,polin_horn,bub_sort,quick_sort,timsort
19,20,2.600001607788727e-07,1.1239999730605632e-05,9.7999996796716e-06,5.134000020916574e-05,4.3799998820759354e-06,1.5340000027208588e-05,3.142000023217406e-05,4.206000012345612e-05
20,21,3.7999998312443497e-07,1.168000017059967e-05,9.700000009615906e-06,5.546000029426068e-05,4.640000042854808e-06,1.5639999764971436e-05,3.389999983482994e-05,3.952000006393064e-05
21,22,2.8000031306874005e-07,1.2000000060652382e-05,9.88000028883107e-06,5.8820000049308874e-05,4.819999958272092e-06,1.8899999849963935e-05,3.682000024127774e-05,4.3080000250483866e-05
22,23,2.4000000848900526e-07,1.1599999925238081e-05,9.920000229612924e-06,6.066000023565721e-05,4.959999932907521e-06,2.0899999799439684e-05,4.000000008090865e-05,4.6500000098603775e-05
23,24,2.600001607788727e-07,1.2399999832268804e-05,9.979999958886765e-06,6.424000021070242e-05,5.17999978910666e-06,2.0880000010947698e-05,4.303999994590413e-05,4.9159999980474824e-05
24,25,2.4000000848900526e-07,1.1240000094403513e-05,1.0200000178883784e-05,6.666000008408446e-05,5.299999975250102e-06,1.9579999934649096e-05,4.65600001916755e-05,5.2259999938542025e-05
25,26,2.2000021999701857e-07,1.1299999823677353e-05,9.999999747378752e-06,7.034000009298325e-05,5.560000136028975e-06,2.3640000290470197e-05,4.948000023432542e-05,5.5760000032023525e-05
26,27,2.4000000848900526e-07,1.1420000009820797e-05,1.0180000026593916e-05,7.091999978001696e-05,5.500000042957254e-06,2.2760000138077886e-05,5.1919999896199444e-05,5.807999987155199e-05
27,28,2.4000000848900526e-07,1.1520000043674372e-05,1.001999989966862e-05,7.392000006802845e-05,5.939999755355529e-06,2.382000020588748e-05,5.6199999744421805e-05,6.542000010085758e-05
28,29,2.5999979698099195e-07,1.140000022132881e-05,1.0140000085812062e-05,7.589999986521435e-05,6.500000017695129e-06,2.688000022317283e-05,6.00200000917539e-05,6.49999998131534e-05
29,30,2.4000000848900526e-07,1.1379999705241062e-05,1.0119999933522194e-05,7.956000008562114e-05,6.299999949987978e-06,3.3679999978630805e-05,6.37600001937244e-05,6.838000008428935e-05
30,31,2.4000000848900526e-07,1.1499999891384504e-05,1.0800000018207356e-05,8.221999996749219e-05,6.600000051548704e-06,3.281999997852836e-05,6.935999990673736e-05,7.224000000860542e-05
31,32,2.1999985619913786e-07,1.1780000204453244e-05,1.0399999882793055e-05,8.658000006107613e-05,6.7400000261841345e-06,3.1520000266027634e-05,7.180000029620715e-05,7.556000018666964e-05
32,33,2.4000000848900526e-07,1.249999986612238e-05,1.0560000009718352e-05,8.793999986664858e-05,6.999999823165126e-06,3.543999991961755e-05,7.579999983136077e-05,7.842000013624784e-05
33,34,2.4000000848900526e-07,1.1699999959091656e-05,1.0240000119665637e-05,9.164000002783723e-05,6.919999941601418e-06,3.3819999953266236e-05,7.82999999501044e-05,8.075999976426828e-05
34,35,2.1999985619913786e-07,1.1900000026798807e-05,1.0299999848939478e-05,9.250000002793967e-05,7.259999983943999e-06,3.894000001309905e-05,8.392000017920509e-05,8.526000019628554e-05
35,36,2.4000000848900526e-07,1.2319999950705095e-05,1.083999995898921e-05,9.594000002834945e-05,7.60000002628658e-06,4.971999987901654e-05,8.765999991737772e-05,8.988000008685049e-05
36,37,2.5999979698099195e-07,1.2140000035287812e-05,1.050000028044451e-05,0.00010093999990203883,7.800000093993732e-06,4.283999987819698e-05,9.274000003642869e-05,9.222000007866882e-05
37,38,2.2000021999701857e-07,1.188000023830682e-05,1.0419999671285041e-05,0.00010197999981755856,7.619999814778567e-06,4.031999997096136e-05,0.00010775999980978667,9.449999997741542e-05
38,39,2.1999985619913786e-07,1.2240000069141388e-05,1.0480000128154643e-05,0.0001043999996909406,8.139999772538431e-06,5.0140000166720713e-05,0.00010127999994438141,0.00010007999990193638
39,40,2.4000000848900526e-07,1.2520000018412247e-05,1.0560000009718352e-05,0.00011696000001393259,8.000000161700881e-06,3.81799996830523e-05,0.00010423999992781319,0.00010234000001219101
40,41,2.600001607788727e-07,1.4480000027106144e-05,1.0759999713627622e-05,0.00011024000014003832,8.63999994180631e-06,5.648000005749054e-05,0.00011182000016560779,0.00010623999987728894
41,42,2.4000000848900526e-07,1.1939999967580662e-05,1.0520000068936497e-05,0.00011899999990419018,8.739999975659884e-06,5.066000012448058e-05,0.0001268200001504738,0.00011004000007233116
42,43,2.4000000848900526e-07,1.2540000170702115e-05,1.0699999984353781e-05,0.00011468000011518597,1.0240000119665637e-05,6.154000002425163e-05,0.00012174000003142282,0.00011387999984435737
43,44,2.5999979698099195e-07,1.4120000196271576e-05,1.4580000060959719e-05,0.00011703999989549629,9.200000204145908e-06,6.23199997789925e-05,0.00012610000012500678,0.00017779999980120919
44,45,2.8000031306874005e-07,1.3720000060857273e-05,1.1219999942113646e-05,0.000123899999744026,9.340000178781339e-06,6.484000005002599e-05,0.00013536000005842652,0.00012199999982840382
45,46,2.7999994927085937e-07,1.3420000323094428e-05,1.1539999832166359e-05,0.00012597999993886334,9.720000161905772e-06,5.759999985457398e-05,0.00013975999972899445,0.00012578000023495407
46,47,2.9999973776284606e-07,1.6220000179600903e-05,1.1859999722219072e-05,0.000129920000108541,9.739999950397759e-06,6.63000002532499e-05,0.0001458200000342913,0.00013045999985479285
