,n,const,sum,prod,polin,polin_horn,bub_sort,quick_sort,timsort
30,31,5.800004146294668e-07,1.89200000022538e-05,1.650000012887176e-05,9.855999924184289e-05,7.339999501709826e-06,0.00013318000055733136,4.537999957392458e-05,8.037999978114386e-05
31,32,6.399997801054269e-07,1.8060000002151355e-05,1.6540000069653614e-05,0.00010261999996146187,7.599999662488699e-06,0.0001471200001105899,4.400000034365803e-05,6.603999972867313e-05
32,33,5.800000508315862e-07,1.7320000188192354e-05,1.6379999942728317e-05,0.00010322000016458333,7.620000906172208e-06,0.00015122000004339498,4.647999958251603e-05,6.561999944096897e-05
33,34,5.600002623395995e-07,1.6279999545076863e-05,1.6499999765073882e-05,0.00011004000007233116,8.08000004326459e-06,0.0001698600000963779,4.808000012417324e-05,7.82999999501044e-05
34,35,5.999998393235729e-07,1.8179999824496917e-05,1.663999973970931e-05,0.00011066000042774249,8.619999789516442e-06,0.00016363999966415577,4.977999960829038e-05,7.138000037230086e-05
35,36,5.799996870337054e-07,1.5940000230330044e-05,1.5099999654921702e-05,0.0001037599995470373,7.46000005165115e-06,0.00017211999984283465,5.498000027728267e-05,7.705999923928175e-05
36,37,6.199996278155595e-07,1.8320000162930227e-05,1.65599998581456e-05,0.00011610000001383014,7.71999948483426e-06,0.0001774799995473586,5.111999998916872e-05,8.556000066164415e-05
37,38,6.399994163075462e-07,1.7780000052880496e-05,1.6620000315015206e-05,0.00010769999971671496,8.679999882588164e-06,0.00019549999960872811,5.626000056508928e-05,7.879999975557439e-05
38,39,5.59999534743838e-07,1.816000003600493e-05,1.7979999756789767e-05,0.00011651999921014067,8.040000102482736e-06,0.00020953999992343598,5.8220000209985304e-05,8.533999971405137e-05
39,40,6.199999916134402e-07,1.7320000188192354e-05,1.6479999976581895e-05,0.00011311999951431062,8.819999493425712e-06,0.00021215999986452517,5.630000050587114e-05,8.723999962967355e-05
40,41,7.200003892648966e-07,2.2139999782666563e-05,1.931999977387022e-05,0.00013339999968593476,9.360000331071205e-06,0.00023798000001988838,6.1020000066491777e-05,0.00010238000031677074
41,42,6.399997801054269e-07,1.863999968918506e-05,1.720000000204891e-05,0.00013531999975384678,9.540000246488489e-06,0.00024077999987639486,6.398000004992355e-05,0.00010609999953885563
42,43,6.399997801054269e-07,1.8220000129076652e-05,1.6820000382722355e-05,0.00013956000002508518,8.859999798005447e-06,0.0002519199999369448,6.70200002787169e-05,9.829999980865977e-05
43,44,6.999995093792677e-07,1.7999999909079633e-05,1.69400005688658e-05,0.0001401600005920045,9.73999958659988e-06,0.00027420000042184257,6.944000015209894e-05,0.00010035999985120725
44,45,6.79999720887281e-07,1.8759999875328504e-05,1.8099999942933208e-05,0.0001361800001177471,1.00200002634665e-05,0.00027599999993981327,6.226000004971866e-05,0.00011778000007325317
45,46,6.400001439033076e-07,1.670000019657891e-05,1.554000045871362e-05,0.00013857999947504142,9.820000195759349e-06,0.00031697999984316996,7.107999990694225e-05,0.00011875999989570118
46,47,6.999998731771484e-07,2.0759999824804253e-05,1.7619999562157317e-05,0.00015242000008584,1.1380000796634703e-05,0.0003086999997321982,7.111999948392623e-05,0.00011242000000493136
47,48,5.800000508315862e-07,1.8759999875328504e-05,1.7220000154338776e-05,0.00015108000006875956,1.1020000238204375e-05,0.00031164000029093586,6.833999977970962e-05,0.00017679999982647132
48,49,7.599999662488699e-07,1.886000027297996e-05,1.7319999460596592e-05,0.00015663999984099063,1.0820000170497224e-05,0.00032960000025923365,7.419999965350144e-05,0.00012305999953241554
49,50,6.79999720887281e-07,1.815999967220705e-05,1.7099999968195335e-05,0.00015800000001036095,1.1040000026696362e-05,0.00034077999989676753,7.334000001719687e-05,0.00012796000046364498
50,51,5.800000508315862e-07,2.0319999384810218e-05,2.196000095864292e-05,0.00020361999959277454,1.1900000026798807e-05,0.00037494000025617424,8.709999965503812e-05,0.00013378000039665494
51,52,7.200003892648966e-07,1.892000036605168e-05,1.7379999917466193e-05,0.0001628599999094149,1.131999997596722e-05,0.00037066000040795186,7.721999973000492e-05,0.00013281999999890104
52,53,5.600002623395995e-07,1.7999999909079633e-05,1.731999982439447e-05,0.00017317999991064425,1.1580000136746094e-05,0.0004358200003480306,8.095999983197544e-05,0.0001419999996869592
53,54,6.400005077011883e-07,1.919999995152466e-05,1.7419999494450167e-05,0.00017094000031647738,1.1560000348254108e-05,0.00039384000046993606,8.276000007754192e-05,0.00014406000009330454
54,55,6.60000296193175e-07,1.88599995453842e-05,1.742000022204593e-05,0.00017501999973319472,1.1860000086016953e-05,0.0004189399998722365,8.219999981520231e-05,0.00015424000048369635
55,56,6.000002031214535e-07,1.8859999181586316e-05,1.7720000323606654e-05,0.00016047999997681472,1.2259999857633375e-05,0.0004333999997470528,8.423999970545993e-05,0.00014977999999246094
56,57,6.400001439033076e-07,1.9239999892306515e-05,1.784000014595222e-05,0.00016352000020560808,1.2080000306013972e-05,0.00045314000017242505,8.34399997984292e-05,0.00015822000023035798
57,58,7.599999662488699e-07,2.1319999723345974e-05,1.7759999900590627e-05,0.00018404000038572122,1.2560000322991982e-05,0.00045322000005398877,8.965999986685347e-05,0.00016975999969872645
58,59,6.599999323952943e-07,1.919999995152466e-05,1.7699999443721026e-05,0.0001874399993539555,1.2580000111483969e-05,0.000491159999728552,9.481999986746815e-05,0.0001692399997409666
59,60,7.000002369750291e-07,1.9839999731630086e-05,1.8840000120690092e-05,0.00019380000012461096,1.311999985773582e-05,0.0004971199996361975,9.323999984189868e-05,0.00016860000032465906
60,61,6.999995093792677e-07,1.9599999723141083e-05,1.776000026438851e-05,0.00019315999961690977,1.2799999967683107e-05,0.0004883200002950616,9.10999999177875e-05,0.0001799199995730305
61,62,6.79999720887281e-07,1.9200000315322542e-05,1.9160000010742807e-05,0.00017693999943730888,1.3559999933931976e-05,0.0005416600000899052,9.391999956278596e-05,0.00018292000022483989
62,63,6.800004484830424e-07,1.9379999866941943e-05,1.7780000416678376e-05,0.00020294000023568515,1.3499999477062375e-05,0.0005407599997852231,9.430000027350615e-05,0.00017822000008891337
63,64,6.399997801054269e-07,1.9400000383029692e-05,1.7940000179805794e-05,0.00020536000047286507,1.3720000060857273e-05,0.0005456200000480748,0.0001004800000373507,0.00015872000003582797
64,65,6.400001439033076e-07,1.946000011230353e-05,1.8120000095223077e-05,0.00020758000027853996,1.3979999857838266e-05,0.00057098000033875,9.800000007089693e-05,0.00016511999929207376
65,66,5.800004146294668e-07,1.946000011230353e-05,1.8220000129076652e-05,0.00020977999993192497,1.666000025579706e-05,0.0005791599996882724,0.00010110000039276201,0.00016816000061226077
66,67,8.000002708286047e-07,2.0199999926262536e-05,1.8319999799132348e-05,0.00021961999955237842,1.5400000484078193e-05,0.0006304999998974381,0.00010199999996984843,0.00019544000024325215
67,68,6.599999323952943e-07,1.9920000340789557e-05,1.8080000518239104e-05,0.00021786000033898744,1.4419999934034422e-05,0.000647420000314014,0.0001101000001654029,0.00019362000020919367
68,69,6.79999720887281e-07,1.9859999883919955e-05,1.8319999435334465e-05,0.00021779999951831996,1.486000001023058e-05,0.0006539200003317092,0.00010701999926823191,0.00017554000005475244
69,70,7.600003300467506e-07,1.995999991777353e-05,1.8600000112201086e-05,0.00022276000017882325,1.505999971413985e-05,0.0006606399998418056,0.00010818000009749085,0.00018486000008124392
70,71,7.599996024509892e-07,2.0179999410174787e-05,1.8360000467509963e-05,0.00022495999983220826,1.5120000534807332e-05,0.0007048800001939526,0.00011192000056325924,0.00018430000091029797
71,72,9.599996701581404e-07,2.0539999968605117e-05,2.4300000222865493e-05,0.00023931999967317097,1.5239999993355013e-05,0.0008256599998276215,0.00020033999971929005,0.00020226000015099999
72,73,6.999995093792677e-07,2.1579999884124846e-05,1.8879999697674065e-05,0.00021104000006744172,1.5580000399495476e-05,0.0007407199998851865,0.00011991999999736436,0.0001937000000907574
73,74,7.200003892648966e-07,2.0120000044698827e-05,1.864000041678082e-05,0.0002376400003413437,1.5880000137258322e-05,0.0008370000006834744,0.0001264999998966232,0.00019790000005741603
74,75,8.599996363045648e-07,2.1380000180215575e-05,1.8799999088514598e-05,0.00021714000031352042,1.5859999621170573e-05,0.0007662399995751912,0.0001145199996244628,0.00019650000031106173
75,76,8.800001523923129e-07,2.1380000180215575e-05,1.8819999968400226e-05,0.00022234000025491695,1.5999999595806004e-05,0.0007965599997987738,0.00012377999992168042,0.00020848000021942426
76,77,8.599996363045648e-07,2.100000019709114e-05,1.939999965543393e-05,0.00022840000019641593,1.6319999849656598e-05,0.0008273200000985526,0.0001235799998539733,0.00022276000017882325
