,Unnamed: 0,n,const,sum,prod,polin,polin_horn,bub_sort,quick_sort,timsort
12,12,13,6.000002031214535e-07,8.600014552939683e-07,1.5000005078036338e-06,4.178000017418526e-05,3.71999958588276e-06,2.752000000327825e-05,1.7499999739811755e-05,1.8219999765278773e-05
13,13,14,5.999994755256921e-07,8.200018783099949e-07,1.580000389367342e-06,4.506000041146762e-05,3.899999865097924e-06,2.6379999690107072e-05,1.7759999900590627e-05,2.0859999858657828e-05
14,14,15,5.800000508315862e-07,7.999995432328433e-07,1.5999998140614479e-06,4.799999951501377e-05,4.379999882075936e-06,3.32600004185224e-05,1.9800000882241878e-05,2.4480000138282777e-05
15,15,16,6.60000296193175e-07,8.800001523923129e-07,1.6800004232209176e-06,5.164000031072646e-05,4.300000364310109e-06,3.5700000080396424e-05,2.1040000137872995e-05,2.473999993526377e-05
16,16,17,6.400001439033075e-07,8.599985449109227e-07,2.120000863214955e-06,5.3999999727238896e-05,4.520000220509246e-06,3.9980000656214544e-05,2.306000023963861e-05,2.993999987666029e-05
17,17,18,5.800000508315862e-07,8.399998478125781e-07,1.7600003047846258e-06,5.756000064138789e-05,4.680000347434543e-06,4.5200000386103056e-05,2.277999956277199e-05,2.8000000020256267e-05
18,18,19,6.399997801054269e-07,8.600000001024455e-07,1.8600010662339628e-06,5.9959999998682174e-05,5.000000237487257e-06,5.166000009921845e-05,2.542000038374681e-05,3.352000021550339e-05
19,19,20,6.599999323952943e-07,8.799994247965514e-07,1.9799990695901215e-06,6.326000002445653e-05,5.140000575920566e-06,5.781999971077312e-05,2.635999990161508e-05,3.277999931015074e-05
20,20,21,6.400005077011883e-07,8.800016075838357e-07,1.9200007955078037e-06,6.649999959336128e-05,5.399999281507917e-06,5.869999986316543e-05,3.0399999741348437e-05,3.666000011435244e-05
21,21,22,5.600002623395995e-07,8.200004231184721e-07,1.9799997971858828e-06,6.908000032126437e-05,5.540000347536988e-06,7.050000021990854e-05,3.302000004623551e-05,3.905999983544461e-05
22,22,23,5.40000110049732e-07,9.000003046821803e-07,1.999999221879989e-06,7.15399997716304e-05,5.779999264632352e-06,7.09400002961047e-05,3.040000010514632e-05,4.591999968397431e-05
23,23,24,6.20000355411321e-07,8.399998478125781e-07,1.999999221879989e-06,7.653999964531976e-05,6.019999636919237e-06,8.420000012847595e-05,3.1379999927594324e-05,5.3239999760990035e-05
24,24,25,5.99999839323573e-07,9.199997293762863e-07,2.020000101765618e-06,7.859999968786722e-05,6.060000305296853e-06,8.891999896150082e-05,3.509999987727497e-05,4.423999962455128e-05
25,25,26,6.399997801054269e-07,9.399998816661537e-07,2.059999678749591e-06,8.253999985754491e-05,5.5799995607230816e-06,8.769999949436171e-05,3.436000006331597e-05,5.9799999507959e-05
26,26,27,5.40000110049732e-07,9.199990017805248e-07,2.19999928958714e-06,8.459999953629449e-05,6.540000322274863e-06,0.00010372000069764908,3.695999948831741e-05,5.9200000032433314e-05
27,27,28,6.60000296193175e-07,8.800001523923129e-07,2.1799998648930343e-06,8.855999985826201e-05,6.759999814676121e-06,0.00011509999967529438,3.707999931066297e-05,6.063999971956946e-05
28,28,29,5.800000508315862e-07,8.599985449109227e-07,2.2199994418770077e-06,8.447999971394893e-05,6.3400002545677125e-06,0.00010792000030050986,3.643999989435543e-05,6.781999945815187e-05
29,29,30,5.599998985417186e-07,8.600000001024455e-07,2.2999985958449544e-06,9.329999993497041e-05,7.4799998401431365e-06,0.00012632000034500378,4.2260000191163266e-05,7.633999994141049e-05
30,30,31,5.800004146294668e-07,8.399998478125781e-07,2.42000023717992e-06,9.855999924184288e-05,7.339999501709827e-06,0.00013318000055733138,4.537999957392458e-05,8.037999978114386e-05
31,31,32,6.399997801054269e-07,8.799994247965514e-07,2.4799999664537607e-06,0.00010261999996146187,7.599999662488699e-06,0.0001471200001105899,4.400000034365803e-05,6.603999972867313e-05
32,32,33,5.800000508315862e-07,9.60000033956021e-07,2.4400003894697873e-06,0.00010322000016458333,7.620000906172207e-06,0.00015122000004339498,4.647999958251603e-05,6.561999944096897e-05
33,33,34,5.600002623395995e-07,9.199997293762863e-07,2.4799999664537607e-06,0.00011004000007233115,8.08000004326459e-06,0.0001698600000963779,4.808000012417324e-05,7.829999995010441e-05
34,34,35,5.99999839323573e-07,9.199990017805248e-07,2.4799999664537607e-06,0.00011066000042774248,8.619999789516443e-06,0.00016363999966415577,4.977999960829038e-05,7.138000037230086e-05
35,35,36,5.799996870337054e-07,9.200011845678091e-07,2.539999695727602e-06,0.0001037599995470373,7.460000051651151e-06,0.00017211999984283465,5.4980000277282665e-05,7.705999923928175e-05
36,36,37,6.199996278155595e-07,8.999988494906574e-07,2.5800000003073364e-06,0.00011610000001383015,7.71999948483426e-06,0.0001774799995473586,5.111999998916872e-05,8.556000066164415e-05
37,37,38,6.399994163075461e-07,9.399998816661537e-07,3.0999995942693205e-06,0.00010769999971671497,8.679999882588164e-06,0.0001954999996087281,5.626000056508928e-05,7.879999975557439e-05
38,38,39,5.599995347438379e-07,9.399998816661537e-07,2.639999001985416e-06,0.00011651999921014067,8.040000102482736e-06,0.000209539999923436,5.8220000209985304e-05,8.533999971405137e-05
39,39,40,6.199999916134403e-07,9.399998816661537e-07,2.720001066336408e-06,0.00011311999951431062,8.819999493425712e-06,0.0002121599998645252,5.630000050587114e-05,8.723999962967355e-05
40,40,41,7.200003892648966e-07,9.800001862458886e-07,2.7800000680144875e-06,0.00013339999968593476,9.360000331071203e-06,0.00023798000001988838,6.102000006649178e-05,0.00010238000031677074
41,41,42,6.399997801054269e-07,9.800001862458886e-07,2.819999644998461e-06,0.00013531999975384678,9.540000246488487e-06,0.00024077999987639486,6.398000004992355e-05,0.00010609999953885564
42,42,43,6.399997801054269e-07,9.60001489147544e-07,2.8800008294638245e-06,0.00013956000002508518,8.859999798005447e-06,0.00025191999993694485,6.702000027871689e-05,9.829999980865976e-05
43,43,44,6.999995093792677e-07,9.60000033956021e-07,2.9199996788520367e-06,0.00014016000059200449,9.73999958659988e-06,0.00027420000042184257,6.944000015209894e-05,0.00010035999985120723
44,44,45,6.799997208872811e-07,9.399998816661537e-07,2.8999995265621694e-06,0.0001361800001177471,1.0020000263466499e-05,0.00027599999993981327,6.226000004971867e-05,0.00011778000007325314
