,n,const,sum,prod,polin,polin_horn,bub_sort,quick_sort,timsort
61,62,0.0,0.0,0.0,0.00020003318786621094,0.0,0.00019993782043457032,0.00020008087158203126,0.00020003318786621094
62,63,0.0,0.0,0.0,0.00020003318786621094,0.0,0.0,0.0004000663757324219,0.0
63,64,0.0,0.00020012855529785156,0.0,0.0,0.00020003318786621094,0.0,0.0001998424530029297,0.0004001617431640625
64,65,0.0,0.0,0.0,0.00019998550415039061,0.0,0.00019993782043457032,0.0004001617431640625,0.0004000663757324219
65,66,9.822845458984376e-06,0.0,0.0,0.0001903057098388672,0.0,0.00019998550415039061,0.00019998550415039061,0.00020003318786621094
66,67,0.0,0.0,0.0,0.00020012855529785156,0.0,0.00019998550415039061,0.0004001617431640625,0.00020008087158203126
67,68,0.0,0.0,0.0,0.00019998550415039061,0.0,0.00020008087158203126,0.00020012855529785156,0.00019989013671875
68,69,0.0,0.00020012855529785156,0.0,0.00019998550415039061,0.0,0.0,0.0004002094268798828,0.00019993782043457032
69,70,0.0,0.0,0.0,0.00019998550415039061,0.0,0.00020012855529785156,0.00020012855529785156,0.00020012855529785156
70,71,0.0,0.0,0.0,0.00019998550415039061,0.0,0.00020003318786621094,0.0004000663757324219,0.00020012855529785156
71,72,0.0,0.0,0.0,0.00019993782043457032,0.0,0.00020003318786621094,0.0004001617431640625,0.00020003318786621094
72,73,0.0,0.0,0.0,0.00020008087158203126,0.0,0.00020003318786621094,0.00020003318786621094,0.00020003318786621094
73,74,0.0,0.0,0.00020008087158203126,0.00020008087158203126,0.0,0.00019998550415039061,0.0004024982452392578,0.0003979206085205078
74,75,0.0,0.0,0.0,0.000202178955078125,0.00019783973693847655,0.00020227432250976562,0.00019998550415039061,0.0004001617431640625
75,76,0.0,0.0,0.0,0.00019769668579101564,0.0,0.0002002716064453125,0.0003998279571533203,0.0002002716064453125
76,77,0.0,0.0,0.00019993782043457032,0.00020003318786621094,0.0,0.00020003318786621094,0.00020008087158203126,0.00040001869201660155
77,78,0.0,0.0,0.0,0.00020017623901367188,0.0,0.00019989013671875,0.00040001869201660155,0.00020008087158203126
78,79,0.0,0.00020003318786621094,0.0,0.00020008087158203126,0.0,0.0002002716064453125,0.0004001617431640625,0.00039997100830078123
79,80,0.0,0.0,0.0001998424530029297,0.00020012855529785156,0.0,0.00020198822021484376,0.0003981590270996094,0.00020189285278320311
80,81,0.0,0.0,0.0,0.0003982067108154297,0.0,0.00020198822021484376,0.0004000663757324219,0.0001983642578125
81,82,0.0,0.0,0.0,0.00039992332458496096,0.0,0.00020003318786621094,0.0004001140594482422,0.00020031929016113282
82,83,0.0,0.0,0.00019979476928710938,0.00019998550415039061,0.0,0.00020008087158203126,0.0004001140594482422,0.00040001869201660155
83,84,0.0,0.0,0.0,0.00020017623901367188,0.0,0.00019998550415039061,0.000601959228515625,0.00020008087158203126
84,85,0.0,0.0,0.0,0.00039801597595214846,0.0,0.00020213127136230468,0.0004000663757324219,0.0003981590270996094
85,86,0.0,0.0,0.0,0.00020194053649902344,0.0,0.00020008087158203126,0.0006001472473144531,0.00020003318786621094
86,87,0.0,0.0,0.0,0.00040035247802734376,0.0,0.00010499954223632812,0.0005986213684082032,0.00020003318786621094
87,88,0.0,0.00019807815551757811,0.0,0.00020198822021484376,0.0,0.00020003318786621094,0.0006001472473144531,0.00020012855529785156
88,89,0.0,0.0,0.0,0.00040001869201660155,0.0,0.00020003318786621094,0.0006000995635986328,0.00020012855529785156
89,90,0.0,0.0,0.0,0.0002246379852294922,0.0,0.00017752647399902344,0.0006000995635986328,0.0004227161407470703
90,91,0.0,0.0,0.0,0.0001773834228515625,0.0,0.0004001140594482422,0.0004002094268798828,0.00039997100830078123
91,92,0.0,0.0,0.0,0.00019807815551757811,0.0,0.000402069091796875,0.00040035247802734376,0.0004224300384521484
92,93,0.0,0.0,0.0,0.00037755966186523435,0.0,0.00019998550415039061,0.0006003856658935546,0.0004001617431640625
93,94,0.0,0.0,0.0,0.00019969940185546876,0.0,0.0004002094268798828,0.00040001869201660155,0.00040030479431152344
94,95,0.0,0.0,0.0,0.0004223823547363281,0.0,0.00017557144165039062,0.000624704360961914,0.0003775119781494141
95,96,0.0,0.0,0.0,0.00019803047180175782,0.00022482872009277344,0.00017752647399902344,0.0006222724914550781,0.00039973258972167967
96,97,0.0,0.0,0.0,0.0001759052276611328,0.00020208358764648438,0.00022287368774414061,0.0005999565124511719,0.0003993511199951172
97,98,0.0,0.0,0.0,0.00017609596252441407,0.0,0.00040221214294433594,0.0006227970123291015,0.000405120849609375
98,99,0.0,0.0,0.0,0.00039944648742675783,0.0,0.00017323493957519532,0.0005998611450195312,0.00040030479431152344
99,100,0.0,0.0,0.0,0.0003998279571533203,0.0,0.00023012161254882814,0.0007731914520263672,0.00040035247802734376
100,101,0.0,0.0,0.0,0.00021572113037109374,0.0,0.00041332244873046873,0.0005711555480957031,0.0003998279571533203
101,102,0.0,0.0,0.0,0.00043182373046875,0.0,0.000168609619140625,0.0008340835571289063,0.00039997100830078123
102,103,0.0,0.0,0.0,0.0004015922546386719,0.0,0.00036263465881347656,0.0006198883056640625,0.0004067420959472656
103,104,0.0,0.0,0.0,0.0003756999969482422,0.0,0.00022473335266113282,0.0008009433746337891,0.0003729820251464844
104,105,0.0,0.0,0.0,0.0003996372222900391,0.0,0.0004021167755126953,0.0006000995635986328,0.0004000663757324219
105,106,0.0,0.0,0.0,0.0004001140594482422,0.0,0.0004001617431640625,0.0005980968475341797,0.0006001472473144531
106,107,0.0,0.0,0.0,0.00020194053649902344,0.0,0.00040030479431152344,0.0007999897003173828,0.0004001617431640625
107,108,0.0,0.0,0.0,0.00040001869201660155,0.0,0.00020003318786621094,0.0008002758026123047,0.00040001869201660155
108,109,0.0,0.0,0.00019812583923339844,0.00020194053649902344,0.0,0.0004001140594482422,0.000800180435180664,0.0004001140594482422
109,110,0.0,0.0,0.0,0.0004448890686035156,0.0,0.0003971576690673828,0.0008029937744140625,0.00040063858032226565
110,111,0.0,0.0,0.0,0.00035486221313476565,0.0,0.00024404525756835938,0.0008290767669677735,0.00039873123168945315
111,112,0.0,0.0,0.0,0.00019979476928710938,0.0,0.0004223823547363281,0.0007779121398925782,0.00040030479431152344
112,113,0.0,0.0,0.0,0.00022263526916503905,0.00017542839050292968,0.00020208358764648438,0.000800180435180664,0.0006224632263183594
113,114,0.0,0.0,0.0,0.00039973258972167967,0.0,0.00040135383605957033,0.0007772445678710938,0.00042247772216796875
114,115,0.0,0.0,0.0,0.0003777027130126953,0.0,0.0004000663757324219,0.0008135318756103515,0.0003867626190185547
115,116,0.0,0.0,0.0,0.00020952224731445311,0.0,0.0005745410919189454,0.0008307456970214844,0.00037112236022949217
116,117,0.0,0.0,0.0,0.00042924880981445315,0.0,0.0003693103790283203,0.0010018348693847656,0.0004313468933105469
117,118,0.0,0.0,0.0,0.0003976345062255859,0.0,0.00040531158447265625,0.0007661819458007812,0.00037822723388671877
118,119,0.0,0.0,0.0,0.00039806365966796873,0.0,0.0004276275634765625,0.0009745121002197266,0.0004258155822753906
119,120,0.0,0.0,0.00017256736755371093,0.0002331256866455078,0.0,0.00036873817443847654,0.001000213623046875,0.0004375457763671875
120,121,0.0,0.0,0.0,0.0002243518829345703,0.0,0.0003757953643798828,0.0009696483612060547,0.0005988597869873047
121,122,0.0,0.0,0.0,0.0004001617431640625,0.0,0.0004001617431640625,0.0009987831115722656,0.00043759346008300783
122,123,0.0,0.0,0.0,0.00020194053649902344,0.00019807815551757811,0.0004384040832519531,0.0009615421295166016,0.0004000663757324219
123,124,0.0,0.0,0.0,0.0004019737243652344,0.0,0.0005983352661132812,0.0007999897003173828,0.0006001472473144531
124,125,0.0,0.0,0.0,0.0004391670227050781,0.0,0.0003619194030761719,0.0010002613067626952,0.0006001472473144531
125,126,0.0,0.0,0.0,0.00045194625854492185,0.0,0.000548410415649414,0.000845956802368164,0.0003945350646972656
126,127,0.0,0.0,0.0,0.00020012855529785156,0.00019807815551757811,0.0004000663757324219,0.0010097980499267577,0.0006000995635986328
127,128,0.0,0.0,0.0,0.0004019737243652344,0.0,0.0004001140594482422,0.001238107681274414,0.000602102279663086
128,129,0.0,0.0,0.0,0.0003981590270996094,0.00020003318786621094,0.00040001869201660155,0.00140228271484375,0.0007615566253662109
129,130,0.0,0.0,0.0,0.0004001140594482422,0.0,0.00039825439453125,0.0011853218078613282,0.0006000518798828125
130,131,0.0,0.0,0.0,0.0004001140594482422,0.0,0.0005992412567138672,0.0010003089904785157,0.0006018638610839844
